train_size,vocab_size,avg_sentence_length,word_overlap,ttr,ttr_distance,jsd,tfidf_similarity,sbert_similarity,src_vocab_size,tgt_vocab_size,avg_src_len,avg_tgt_len,proxy_bleu,target_bleu,src_lang,tgt_lang,lang_pair,requested_size
500,7621,21.060000000000002,0.1395131982198154,0.3992828843892231,0.006976785759016069,0.22804199117790644,0.8012941273297048,0.97853494,4085,4316,21.478,20.642,9.098531327448692,9.098531327448692,en,fr,en-fr,500
1000,12904,21.3045,0.1281482519022134,0.3380865293237586,0.05017195542855485,0.21423916223277184,0.8012941273297048,0.97853494,6926,7459,21.806,20.803,9.098531327448692,9.098531327448692,en,fr,en-fr,1000
2000,21107,20.9375,0.10859869070492187,0.2817579511051084,0.12480802572139957,0.20489684068218816,0.8012941273297048,0.97853494,11260,12316,21.2525,20.6225,9.098531327448692,9.098531327448692,en,fr,en-fr,2000
5000,40403,21.5937,0.07769958334713695,0.21232429846632686,0.2628127444387393,0.19801852833692687,0.8012941273297048,0.97853494,21593,24204,21.9294,21.258,9.098531327448692,9.098531327448692,en,fr,en-fr,5000
500,8312,23.637999999999998,0.13845972646797955,0.3581505119384464,0.010719915622610281,0.22369211004285652,0.7151032105259243,0.9839258,4110,4344,24.258,23.018,34.05204944353419,34.05204944353419,en,es,en-es,500
1000,13876,23.109,0.12876696505775953,0.3061706068032519,0.05458975464126415,0.21074545168451586,0.7151032105259243,0.9839258,6807,7314,23.83,22.388,34.05204944353419,34.05204944353419,en,es,en-es,1000
2000,22891,23.008,0.10829617364986081,0.2536776511748358,0.13325140338556699,0.20155057497897808,0.7151032105259243,0.9839258,11093,12206,23.633,22.383,34.05204944353419,34.05204944353419,en,es,en-es,2000
5000,42680,22.3437,0.0772333993476235,0.19549240481148417,0.26078980122054407,0.19817948612446346,0.7151032105259243,0.9839258,20469,23110,22.9384,21.749,34.05204944353419,34.05204944353419,en,es,en-es,5000
500,7844,22.671,0.14748487742757083,0.35098302378609214,0.013677020132221631,0.217729826202438,0.7459583938398406,0.9757146,3722,4204,23.56,21.782,5.09624476398967,5.09624476398967,en,it,en-it,500
1000,13169,22.3365,0.13317998569881176,0.2992686963438622,0.06103804434892057,0.2072766730352513,0.7459583938398406,0.9757146,6235,7077,23.255,21.418,5.09624476398967,5.09624476398967,en,it,en-it,1000
2000,22246,22.82175,0.11137358736871979,0.2476868132626482,0.1420050392861067,0.1983777568517143,0.7459583938398406,0.9757146,10386,12122,23.715,21.9285,5.09624476398967,5.09624476398967,en,it,en-it,2000
5000,41751,22.7561,0.07882013285500385,0.18702547597610147,0.280323304765894,0.19384324842188125,0.7459583938398406,0.9757146,18985,23314,23.7228,21.7894,5.09624476398967,5.09624476398967,en,it,en-it,5000
500,6662,17.207,0.14856657453855768,0.3951949487565296,0.007476727998771595,0.2363945011228889,0.7590850811764889,0.98290986,3061,3614,18.944,15.47,12.801643370096537,12.801643370096537,en,ru,en-ru,500
1000,11261,17.5745,0.1335795373045618,0.3285681738216224,0.05783178799009398,0.22264767722705658,0.7590850811764889,0.98290986,4971,6336,19.283,15.866,12.801643370096537,12.801643370096537,en,ru,en-ru,1000
2000,18885,17.412,0.1113998341354433,0.2792425597647319,0.12567266528167054,0.21452773616703374,0.7590850811764889,0.98290986,8009,10950,19.156,15.668,12.801643370096537,12.801643370096537,en,ru,en-ru,2000
5000,36146,17.7032,0.0792265788634377,0.21117055503586069,0.2619991536533895,0.20860555955872506,0.7590850811764889,0.98290986,14431,21863,19.4412,15.9652,12.801643370096537,12.801643370096537,en,ru,en-ru,5000
500,7554,21.631,0.15103843967759054,0.35734078285955817,0.011960262527862704,0.21810653912421774,0.7045647585092754,0.98207146,3825,3904,21.746,21.516,8.85739397358418,8.85739397358418,en,nl,en-nl,500
1000,12649,21.646,0.13512938142985437,0.29888391772674866,0.0650561211175392,0.2075231043576134,0.7045647585092754,0.98207146,6405,6534,21.686,21.606,8.85739397358418,8.85739397358418,en,nl,en-nl,1000
2000,20636,21.47225,0.11354922332010606,0.24580722686248996,0.1500396233039726,0.19867013281122814,0.7045647585092754,0.98207146,10308,10803,21.5175,21.427,8.85739397358418,8.85739397358418,en,nl,en-nl,2000
5000,37973,21.447499999999998,0.08082985224952294,0.18147635729270592,0.29996203210218847,0.19188610787957025,0.7045647585092754,0.98207146,18883,20035,21.517,21.378,8.85739397358418,8.85739397358418,en,nl,en-nl,5000
500,6994,22.086,0.16006718510289372,0.3242078914997527,0.008829515125245367,0.19292736133477273,0.6959264228089836,0.9790389,3428,3732,22.118,22.054,15.51008098503499,15.51008098503499,en,sv,en-sv,500
1000,11415,21.8585,0.14800758768198555,0.2674204234180228,0.06383925134005898,0.18158807875993252,0.6959264228089836,0.9790389,5527,6163,21.886,21.831,15.51008098503499,15.51008098503499,en,sv,en-sv,1000
2000,18547,21.833,0.12423632112712706,0.21758797843359873,0.1536064103922972,0.1747984332327116,0.6959264228089836,0.9790389,8879,10117,21.938,21.728,15.51008098503499,15.51008098503499,en,sv,en-sv,2000
2476,21217,21.730613893376415,0.116349082589907,0.20192264095367235,0.18983888204415664,0.17336466354229796,0.6959264228089836,0.9790389,10095,11624,21.86025848142165,21.60096930533118,15.51008098503499,15.51008098503499,en,sv,en-sv,5000
